Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1998,9,17,6,17.3,119.2,0,0,-,-,-,-,-,-,Image
1998,9,17,12,17.2,118.8,35,0,-,-,-,symmetric,40,40,Image
1998,9,17,18,17.1,118.6,45,0,-,-,-,symmetric,50,50,Image
1998,9,18,0,16.4,118.6,45,0,-,-,-,symmetric,50,50,Image
1998,9,18,6,16.2,118.8,50,0,-,-,-,symmetric,60,60,Image
1998,9,18,12,16.1,119.4,60,0,symmetric,30,30,symmetric,60,60,Image
1998,9,18,18,16.1,119.9,60,0,symmetric,30,30,symmetric,60,60,Image
1998,9,19,0,16.2,120.5,55,0,symmetric,30,30,symmetric,60,60,Image
1998,9,19,6,16.6,121.2,50,0,-,-,-,symmetric,60,60,Image
1998,9,19,12,17.3,122.4,45,0,-,-,-,symmetric,50,50,Image
1998,9,19,18,17.7,123.1,45,0,-,-,-,symmetric,50,50,Image
1998,9,20,0,19.5,125.5,45,0,-,-,-,symmetric,80,80,Image
1998,9,20,6,20.6,126.4,45,0,-,-,-,symmetric,80,80,Image
1998,9,20,12,21.8,127.9,50,0,-,-,-,SE,300,150,Image
1998,9,20,18,23.4,128.8,55,0,symmetric,40,40,SE,325,160,Image
1998,9,21,0,24.8,129.7,60,0,symmetric,60,60,SE,350,160,Image
1998,9,21,3,25.5,130.4,60,0,symmetric,60,60,SE,375,120,Image
1998,9,21,6,26.3,131.1,65,0,symmetric,70,70,SE,375,120,Image
1998,9,21,9,26.9,131.6,65,0,symmetric,70,70,SE,375,120,Image
1998,9,21,12,27.6,132.1,70,0,symmetric,80,80,SE,375,120,Image
1998,9,21,15,28.4,132.6,70,0,symmetric,80,80,SE,375,120,Image
1998,9,21,18,29.6,133.2,75,0,symmetric,90,90,SE,375,120,Image
1998,9,21,21,30.8,133.8,75,0,SE,100,80,SE,375,120,Image
1998,9,22,0,32.4,134.3,75,0,SE,100,80,SE,375,120,Image
1998,9,22,3,33.4,134.8,75,0,SE,100,80,SE,375,120,Image
1998,9,22,4,33.8,135.1,75,0,SE,100,80,SE,375,120,Image
1998,9,22,6,35.1,136.1,60,0,SE,80,60,SE,350,120,Image
1998,9,22,9,36.8,137.2,55,0,symmetric,50,50,SE,300,100,Image
1998,9,22,12,38.5,139.3,50,0,-,-,-,SE,250,100,Image
1998,9,22,15,40.2,141.3,50,0,-,-,-,SE,250,100,Image
1998,9,22,18,41.2,143.4,45,0,-,-,-,SE,250,100,Image
1998,9,22,21,42.0,146.5,45,0,-,-,-,SE,220,100,Image
1998,9,23,0,42.0,147.5,0,0,-,-,-,-,-,-,Image
1998,9,23,6,43.2,154.6,0,0,-,-,-,-,-,-,Image
1998,9,23,12,44.7,161.5,0,0,-,-,-,-,-,-,Image
1998,9,23,18,45.7,168.5,0,0,-,-,-,-,-,-,Image
1998,9,24,0,46.6,173.5,0,0,-,-,-,-,-,-,Image
1998,9,24,6,49.0,179.1,0,0,-,-,-,-,-,-,Image
1998,9,24,12,52.3,184.6,0,0,-,-,-,-,-,-,Image
