Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2013,9,29,6,10.3,135.0,0,0,-,-,-,-,-,-,Image
2013,9,29,12,10.4,134.3,0,0,-,-,-,-,-,-,Image
2013,9,29,18,10.8,133.8,0,0,-,-,-,-,-,-,Image
2013,9,30,0,11.8,133.3,0,0,-,-,-,-,-,-,Image
2013,9,30,6,12.7,133.0,0,0,-,-,-,-,-,-,Image
2013,9,30,12,13.4,132.6,0,0,-,-,-,-,-,-,Image
2013,9,30,18,13.8,132.2,35,0,-,-,-,S,150,120,Image
2013,10,1,0,14.5,131.8,35,0,-,-,-,S,150,120,Image
2013,10,1,6,15.2,131.5,35,0,-,-,-,S,150,120,Image
2013,10,1,12,16.1,131.2,45,0,-,-,-,symmetric,150,150,Image
2013,10,1,18,17.2,131.1,45,0,-,-,-,symmetric,150,150,Image
2013,10,2,0,17.6,130.6,50,0,-,-,-,symmetric,150,150,Image
2013,10,2,6,18.3,130.2,50,0,-,-,-,symmetric,150,150,Image
2013,10,2,12,18.9,129.9,50,0,-,-,-,symmetric,150,150,Image
2013,10,2,18,19.5,129.8,50,0,-,-,-,symmetric,150,150,Image
2013,10,3,0,20.0,129.8,50,0,-,-,-,NW,180,150,Image
2013,10,3,6,20.7,129.6,55,0,symmetric,60,60,NW,180,150,Image
2013,10,3,12,21.2,129.7,55,0,symmetric,60,60,NW,180,150,Image
2013,10,3,18,21.6,129.9,60,0,symmetric,60,60,NW,180,150,Image
2013,10,4,0,22.1,129.8,60,0,symmetric,60,60,NW,210,180,Image
2013,10,4,6,22.7,129.5,60,0,symmetric,60,60,NW,210,180,Image
2013,10,4,12,23.2,129.1,70,0,symmetric,70,70,N,270,180,Image
2013,10,4,18,23.7,128.5,75,0,symmetric,80,80,N,270,180,Image
2013,10,4,21,24.1,128.2,75,0,symmetric,80,80,N,270,180,Image
2013,10,5,0,24.4,127.6,75,0,symmetric,90,90,N,270,180,Image
2013,10,5,3,24.5,127.3,75,0,symmetric,90,90,N,270,180,Image
2013,10,5,6,24.7,126.7,75,0,symmetric,100,100,N,270,180,Image
2013,10,5,9,25.1,126.4,75,0,symmetric,100,100,N,270,180,Image
2013,10,5,12,25.0,125.8,75,0,symmetric,100,100,N,270,180,Image
2013,10,5,15,25.2,125.5,75,0,symmetric,100,100,N,270,180,Image
2013,10,5,18,25.2,124.9,75,0,symmetric,100,100,N,270,180,Image
2013,10,5,21,25.5,124.4,75,0,symmetric,100,100,N,270,180,Image
2013,10,6,0,25.6,123.7,70,0,symmetric,90,90,N,240,180,Image
2013,10,6,3,25.8,123.3,70,0,symmetric,80,80,N,240,180,Image
2013,10,6,6,26.0,122.8,70,0,symmetric,80,80,N,240,180,Image
2013,10,6,12,26.7,121.7,65,0,symmetric,70,70,N,240,180,Image
2013,10,6,18,27.0,120.2,60,0,symmetric,50,50,N,210,120,Image
2013,10,7,0,27.0,118.8,40,0,-,-,-,N,170,120,Image
2013,10,7,6,26.9,117.9,0,0,-,-,-,-,-,-,Image
