Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1990,10,1,18,12.3,114.8,0,0,-,-,-,-,-,-,Image
1990,10,2,0,12.6,113.7,0,0,-,-,-,-,-,-,Image
1990,10,2,6,13.2,112.9,0,0,-,-,-,-,-,-,Image
1990,10,2,12,13.4,111.8,35,0,-,-,-,symmetric,60,60,Image
1990,10,2,18,13.5,110.5,35,0,-,-,-,symmetric,60,60,Image
1990,10,3,0,13.6,109.0,35,0,-,-,-,symmetric,50,50,Image
1990,10,3,6,13.8,107.5,35,0,-,-,-,symmetric,50,50,Image
1990,10,3,12,14.0,106.2,0,0,-,-,-,-,-,-,Image
1990,10,3,18,14.5,105.0,0,0,-,-,-,-,-,-,Image
