Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1991,11,1,0,8.0,159.0,0,0,-,-,-,-,-,-,Image
1991,11,1,6,8.7,157.3,0,0,-,-,-,-,-,-,Image
1991,11,1,12,9.4,155.6,35,0,-,-,-,symmetric,60,60,Image
1991,11,1,18,10.0,154.3,40,0,-,-,-,symmetric,100,100,Image
1991,11,2,0,10.9,153.0,50,0,-,-,-,symmetric,130,130,Image
1991,11,2,6,11.8,151.9,55,0,symmetric,40,40,symmetric,150,150,Image
1991,11,2,12,12.6,150.6,60,0,symmetric,40,40,symmetric,150,150,Image
1991,11,2,18,13.4,149.5,70,0,symmetric,60,60,symmetric,200,200,Image
1991,11,3,0,14.1,148.3,75,0,symmetric,80,80,symmetric,200,200,Image
1991,11,3,6,14.7,147.3,80,0,symmetric,80,80,symmetric,210,210,Image
1991,11,3,12,15.4,146.3,85,0,symmetric,90,90,symmetric,210,210,Image
1991,11,3,18,16.0,145.1,95,0,symmetric,110,110,symmetric,220,220,Image
1991,11,4,0,16.4,144.1,100,0,symmetric,120,120,symmetric,240,240,Image
1991,11,4,6,16.9,143.0,100,0,symmetric,120,120,symmetric,240,240,Image
1991,11,4,12,17.4,142.2,100,0,symmetric,120,120,symmetric,240,240,Image
1991,11,4,18,17.9,141.4,100,0,symmetric,120,120,symmetric,240,240,Image
1991,11,5,0,18.3,140.9,100,0,symmetric,120,120,N,300,240,Image
1991,11,5,6,18.8,140.3,95,0,symmetric,120,120,N,300,240,Image
1991,11,5,12,19.1,140.0,95,0,symmetric,120,120,N,300,240,Image
1991,11,5,18,19.4,139.7,95,0,symmetric,120,120,N,300,240,Image
1991,11,6,0,19.6,139.5,95,0,symmetric,120,120,N,300,240,Image
1991,11,6,6,19.7,139.3,90,0,symmetric,110,110,N,300,240,Image
1991,11,6,12,19.8,139.0,85,0,symmetric,100,100,N,300,240,Image
1991,11,6,18,19.8,138.7,80,0,symmetric,90,90,N,300,210,Image
1991,11,7,0,19.7,138.2,80,0,symmetric,90,90,N,300,210,Image
1991,11,7,6,19.6,137.7,80,0,symmetric,90,90,N,300,200,Image
1991,11,7,12,19.6,137.1,80,0,symmetric,90,90,N,300,200,Image
1991,11,7,18,19.6,136.4,85,0,symmetric,110,110,N,300,200,Image
1991,11,8,0,19.7,135.8,90,0,symmetric,120,120,N,300,220,Image
1991,11,8,6,19.7,135.2,90,0,symmetric,120,120,symmetric,270,270,Image
1991,11,8,12,19.6,134.7,95,0,symmetric,120,120,symmetric,270,270,Image
1991,11,8,18,19.4,134.1,95,0,symmetric,130,130,S,325,270,Image
1991,11,9,0,18.9,133.4,95,0,symmetric,130,130,symmetric,300,300,Image
1991,11,9,6,18.7,132.6,95,0,symmetric,120,120,symmetric,280,280,Image
1991,11,9,12,18.5,131.7,95,0,symmetric,120,120,symmetric,280,280,Image
1991,11,9,18,18.4,130.8,95,0,symmetric,120,120,symmetric,280,280,Image
1991,11,10,0,18.4,130.0,95,0,symmetric,120,120,symmetric,280,280,Image
1991,11,10,6,18.4,129.2,95,0,symmetric,120,120,symmetric,280,280,Image
1991,11,10,12,18.3,128.5,95,0,symmetric,120,120,symmetric,280,280,Image
1991,11,10,18,18.2,127.9,95,0,symmetric,120,120,symmetric,280,280,Image
1991,11,11,0,17.9,127.4,90,0,NW,140,100,NW,300,250,Image
1991,11,11,6,17.6,126.9,85,0,NW,140,100,NW,300,250,Image
1991,11,11,12,17.5,126.5,75,0,NW,120,100,NW,300,250,Image
1991,11,11,18,17.4,126.0,70,0,NW,100,80,NW,240,200,Image
1991,11,12,0,17.3,125.4,65,0,symmetric,80,80,NW,240,200,Image
1991,11,12,6,17.2,124.6,55,0,symmetric,60,60,NW,220,150,Image
1991,11,12,12,17.6,123.4,50,0,-,-,-,NW,200,120,Image
1991,11,12,18,18.3,122.4,45,0,-,-,-,symmetric,140,140,Image
1991,11,13,0,18.7,122.0,35,0,-,-,-,symmetric,100,100,Image
1991,11,13,6,19.0,121.4,35,0,-,-,-,symmetric,80,80,Image
1991,11,13,12,19.1,120.9,35,0,-,-,-,symmetric,80,80,Image
1991,11,13,18,19.0,120.3,35,0,-,-,-,symmetric,80,80,Image
1991,11,14,0,18.8,119.9,0,0,-,-,-,-,-,-,Image
1991,11,14,6,18.0,119.5,0,0,-,-,-,-,-,-,Image
1991,11,14,12,17.0,118.8,0,0,-,-,-,-,-,-,Image
1991,11,14,18,16.0,118.0,0,0,-,-,-,-,-,-,Image
1991,11,15,0,15.0,116.5,0,0,-,-,-,-,-,-,Image
1991,11,15,6,14.5,115.0,0,0,-,-,-,-,-,-,Image
