Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2015,9,13,0,15.6,112.9,0,0,-,-,-,-,-,-,Image
2015,9,13,6,15.6,112.2,0,0,-,-,-,-,-,-,Image
2015,9,13,12,15.3,111.4,0,0,-,-,-,-,-,-,Image
2015,9,13,18,15.1,110.8,35,0,-,-,-,NW,180,150,Image
2015,9,14,0,15.0,110.3,35,0,-,-,-,NW,180,150,Image
2015,9,14,6,15.6,109.7,35,0,-,-,-,NW,180,150,Image
2015,9,14,12,15.6,108.9,35,0,-,-,-,symmetric,150,150,Image
2015,9,14,18,15.8,107.3,35,0,-,-,-,symmetric,120,120,Image
2015,9,15,0,15.3,106.2,0,0,-,-,-,-,-,-,Image
2015,9,15,6,14.3,105.8,0,0,-,-,-,-,-,-,Image
