Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2015,1,13,0,8.7,142.9,0,0,-,-,-,-,-,-,Image
2015,1,13,6,8.5,142.4,0,0,-,-,-,-,-,-,Image
2015,1,13,12,8.6,141.7,35,0,-,-,-,N,210,150,Image
2015,1,13,18,9.2,140.7,35,0,-,-,-,N,210,150,Image
2015,1,14,0,10.1,139.5,35,0,-,-,-,N,180,150,Image
2015,1,14,6,10.3,138.4,35,0,-,-,-,N,180,150,Image
2015,1,14,12,10.9,137.1,35,0,-,-,-,N,180,150,Image
2015,1,14,18,11.3,135.6,35,0,-,-,-,N,180,150,Image
2015,1,15,0,11.4,134.2,35,0,-,-,-,N,180,150,Image
2015,1,15,6,11.6,133.2,35,0,-,-,-,N,180,150,Image
2015,1,15,12,11.7,132.7,40,0,-,-,-,N,180,150,Image
2015,1,15,18,11.6,131.7,40,0,-,-,-,N,180,150,Image
2015,1,16,0,11.3,130.7,45,0,-,-,-,N,210,150,Image
2015,1,16,6,11.3,129.3,50,0,-,-,-,N,210,150,Image
2015,1,16,12,11.2,128.5,50,0,-,-,-,N,210,150,Image
2015,1,16,18,11.0,127.5,60,0,symmetric,50,50,N,210,150,Image
2015,1,17,0,11.4,126.7,60,0,symmetric,50,50,N,210,150,Image
2015,1,17,6,11.9,126.0,60,0,symmetric,50,50,N,210,120,Image
2015,1,17,12,12.4,125.2,45,0,-,-,-,N,210,120,Image
2015,1,17,18,12.7,124.3,40,0,-,-,-,NE,210,120,Image
2015,1,18,0,13.5,123.6,35,0,-,-,-,NE,180,90,Image
2015,1,18,6,13.9,122.9,35,0,-,-,-,NE,150,90,Image
2015,1,18,12,14.8,122.6,35,0,-,-,-,NE,150,90,Image
2015,1,18,18,16.0,122.5,0,0,-,-,-,-,-,-,Image
2015,1,19,0,16.6,122.8,0,0,-,-,-,-,-,-,Image
2015,1,19,6,16.8,123.1,0,0,-,-,-,-,-,-,Image
2015,1,19,12,16.8,123.3,0,0,-,-,-,-,-,-,Image
2015,1,19,18,16.8,123.9,0,0,-,-,-,-,-,-,Image
2015,1,20,0,16.8,124.4,0,0,-,-,-,-,-,-,Image
2015,1,20,6,16.9,124.7,0,0,-,-,-,-,-,-,Image
2015,1,20,12,17.0,125.0,0,0,-,-,-,-,-,-,Image
2015,1,20,18,17.3,125.2,0,0,-,-,-,-,-,-,Image
