Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2001,11,6,0,10.2,128.0,0,0,-,-,-,-,-,-,Image
2001,11,6,6,10.4,126.9,0,0,-,-,-,-,-,-,Image
2001,11,6,12,10.4,126.0,0,0,-,-,-,-,-,-,Image
2001,11,6,18,10.4,125.3,35,0,-,-,-,N,220,140,Image
2001,11,7,0,10.5,124.4,35,0,-,-,-,N,230,160,Image
2001,11,7,6,10.7,123.9,35,0,-,-,-,N,240,180,Image
2001,11,7,12,10.9,123.3,35,0,-,-,-,N,250,200,Image
2001,11,7,18,11.2,122.7,35,0,-,-,-,N,250,200,Image
2001,11,8,0,11.5,122.0,40,0,-,-,-,N,250,200,Image
2001,11,8,6,11.9,121.4,45,0,-,-,-,N,260,200,Image
2001,11,8,12,12.3,120.7,45,0,-,-,-,N,280,200,Image
2001,11,8,18,12.5,119.7,55,0,symmetric,30,30,N,300,180,Image
2001,11,9,0,12.7,118.7,55,0,symmetric,30,30,N,300,180,Image
2001,11,9,6,13.0,117.9,60,0,symmetric,40,40,N,300,180,Image
2001,11,9,12,13.2,117.0,65,0,symmetric,50,50,N,300,180,Image
2001,11,9,18,13.4,116.1,70,0,symmetric,60,60,N,300,200,Image
2001,11,10,0,13.4,115.3,75,0,symmetric,80,80,N,300,200,Image
2001,11,10,6,13.5,114.7,80,0,symmetric,100,100,NW,325,220,Image
2001,11,10,12,13.5,114.1,85,0,symmetric,110,110,NW,325,220,Image
2001,11,10,18,13.6,113.3,85,0,symmetric,110,110,N,325,220,Image
2001,11,11,0,13.5,112.5,85,0,symmetric,110,110,N,325,220,Image
2001,11,11,6,13.5,111.7,85,0,symmetric,110,110,N,325,220,Image
2001,11,11,12,13.5,110.5,70,0,symmetric,100,100,N,325,220,Image
2001,11,11,18,13.5,109.5,50,0,-,-,-,symmetric,180,180,Image
2001,11,12,0,13.5,108.3,0,0,-,-,-,-,-,-,Image
2001,11,12,6,13.5,107.3,0,0,-,-,-,-,-,-,Image
2001,11,12,12,13.5,106.3,0,0,-,-,-,-,-,-,Image
