Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1985,1,4,18,8.0,133.0,0,0,-,-,-,-,-,-,Image
1985,1,5,0,9.0,132.0,0,0,-,-,-,-,-,-,Image
1985,1,5,6,10.0,131.0,0,0,-,-,-,-,-,-,Image
1985,1,5,12,11.5,130.5,45,0,-,-,-,symmetric,300,300,Image
1985,1,5,18,12.0,131.0,45,0,-,-,-,symmetric,300,300,Image
1985,1,6,0,12.5,132.0,50,0,-,-,-,NW,300,200,Image
1985,1,6,6,12.4,132.9,50,0,-,-,-,symmetric,200,200,Image
1985,1,6,12,12.1,133.5,50,0,-,-,-,symmetric,200,200,Image
1985,1,6,18,11.7,134.1,50,0,-,-,-,symmetric,300,300,Image
1985,1,7,0,11.4,134.7,40,0,-,-,-,symmetric,300,300,Image
1985,1,7,6,11.1,135.2,35,0,-,-,-,NW,300,100,Image
1985,1,7,12,11.0,135.5,35,0,-,-,-,NW,300,100,Image
1985,1,7,18,11.6,135.0,35,0,-,-,-,NW,300,60,Image
1985,1,8,0,12.3,134.7,35,0,-,-,-,symmetric,200,200,Image
1985,1,8,6,13.0,134.3,40,0,-,-,-,symmetric,200,200,Image
1985,1,8,12,12.4,133.8,35,0,-,-,-,symmetric,200,200,Image
1985,1,8,18,11.7,134.0,35,0,-,-,-,symmetric,250,250,Image
1985,1,9,0,11.0,134.6,35,0,-,-,-,symmetric,250,250,Image
1985,1,9,6,10.4,135.2,45,0,-,-,-,symmetric,300,300,Image
1985,1,9,12,9.8,135.9,45,0,-,-,-,symmetric,300,300,Image
1985,1,9,18,9.3,136.6,45,0,-,-,-,symmetric,300,300,Image
1985,1,10,0,9.0,137.4,45,0,-,-,-,symmetric,300,300,Image
1985,1,10,6,9.3,138.3,45,0,-,-,-,symmetric,300,300,Image
1985,1,10,12,9.4,138.5,45,0,-,-,-,symmetric,300,300,Image
1985,1,10,18,9.4,138.6,45,0,-,-,-,symmetric,300,300,Image
1985,1,11,0,9.5,138.5,45,0,-,-,-,symmetric,150,150,Image
1985,1,11,6,9.6,138.4,45,0,-,-,-,symmetric,150,150,Image
1985,1,11,12,9.3,138.4,45,0,-,-,-,symmetric,150,150,Image
1985,1,11,18,9.1,138.5,45,0,-,-,-,symmetric,150,150,Image
1985,1,12,0,9.0,138.8,35,0,-,-,-,symmetric,100,100,Image
1985,1,12,6,9.0,139.0,0,0,-,-,-,-,-,-,Image
1985,1,12,12,9.0,139.0,0,0,-,-,-,-,-,-,Image
1985,1,12,18,9.0,138.0,0,0,-,-,-,-,-,-,Image
1985,1,13,0,9.0,137.0,0,0,-,-,-,-,-,-,Image
1985,1,13,6,9.0,136.5,0,0,-,-,-,-,-,-,Image
