Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2012,3,26,0,9.5,115.7,0,0,-,-,-,-,-,-,Image
2012,3,26,6,9.5,115.4,0,0,-,-,-,-,-,-,Image
2012,3,26,12,9.5,115.1,0,0,-,-,-,-,-,-,Image
2012,3,26,18,9.4,114.8,0,0,-,-,-,-,-,-,Image
2012,3,27,0,9.4,114.5,0,0,-,-,-,-,-,-,Image
2012,3,27,6,9.4,114.3,0,0,-,-,-,-,-,-,Image
2012,3,27,12,9.4,114.0,0,0,-,-,-,-,-,-,Image
2012,3,27,18,9.4,113.7,0,0,-,-,-,-,-,-,Image
2012,3,28,0,9.4,113.4,0,0,-,-,-,-,-,-,Image
2012,3,28,6,9.3,113.1,0,0,-,-,-,-,-,-,Image
2012,3,28,12,9.3,112.8,0,0,-,-,-,-,-,-,Image
2012,3,28,18,9.4,112.5,0,0,-,-,-,-,-,-,Image
2012,3,29,0,9.6,112.3,0,0,-,-,-,-,-,-,Image
2012,3,29,6,9.7,112.0,0,0,-,-,-,-,-,-,Image
2012,3,29,12,9.7,111.8,35,0,-,-,-,symmetric,60,60,Image
2012,3,29,18,9.7,111.6,35,0,-,-,-,symmetric,80,80,Image
2012,3,30,0,9.7,111.3,40,0,-,-,-,symmetric,100,100,Image
2012,3,30,6,9.7,111.0,40,0,-,-,-,symmetric,120,120,Image
2012,3,30,12,9.7,110.7,40,0,-,-,-,symmetric,120,120,Image
2012,3,30,18,9.7,110.4,40,0,-,-,-,symmetric,120,120,Image
2012,3,31,0,9.7,110.0,40,0,-,-,-,symmetric,120,120,Image
2012,3,31,6,9.8,109.5,40,0,-,-,-,symmetric,120,120,Image
2012,3,31,12,9.9,109.1,40,0,-,-,-,symmetric,120,120,Image
2012,3,31,18,9.9,108.7,40,0,-,-,-,symmetric,120,120,Image
2012,4,1,0,10.0,108.3,40,0,-,-,-,symmetric,120,120,Image
2012,4,1,6,10.0,107.8,40,0,-,-,-,symmetric,90,90,Image
2012,4,1,12,10.5,107.4,35,0,-,-,-,symmetric,70,70,Image
2012,4,1,18,11.0,107.0,35,0,-,-,-,symmetric,70,70,Image
2012,4,2,0,11.5,106.5,0,0,-,-,-,-,-,-,Image
2012,4,2,6,12.0,106.1,0,0,-,-,-,-,-,-,Image
