Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1995,10,22,18,10.5,131.0,0,0,-,-,-,-,-,-,Image
1995,10,23,0,11.0,129.0,0,0,-,-,-,-,-,-,Image
1995,10,23,6,12.3,127.0,0,0,-,-,-,-,-,-,Image
1995,10,23,12,12.8,124.5,0,0,-,-,-,-,-,-,Image
1995,10,23,18,12.5,122.5,0,0,-,-,-,-,-,-,Image
1995,10,24,0,12.2,120.4,0,0,-,-,-,-,-,-,Image
1995,10,24,6,12.3,119.0,0,0,-,-,-,-,-,-,Image
1995,10,24,12,12.5,118.1,0,0,-,-,-,-,-,-,Image
1995,10,24,18,13.0,116.5,0,0,-,-,-,-,-,-,Image
1995,10,25,0,13.4,114.8,35,0,-,-,-,symmetric,120,120,Image
1995,10,25,6,13.5,113.2,35,0,-,-,-,symmetric,120,120,Image
1995,10,25,12,13.5,112.2,35,0,-,-,-,symmetric,120,120,Image
1995,10,25,18,13.4,110.9,40,0,-,-,-,symmetric,140,140,Image
1995,10,26,0,13.3,109.9,50,0,-,-,-,E,160,120,Image
1995,10,26,6,13.4,108.7,40,0,-,-,-,symmetric,120,120,Image
1995,10,26,12,13.5,107.5,0,0,-,-,-,-,-,-,Image
1995,10,26,18,13.5,106.2,0,0,-,-,-,-,-,-,Image
1995,10,27,0,13.5,105.0,0,0,-,-,-,-,-,-,Image
