Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2016,10,13,0,12.9,129.4,0,0,-,-,-,-,-,-,Image
2016,10,13,6,13.1,128.9,0,0,-,-,-,-,-,-,Image
2016,10,13,12,13.3,128.1,0,0,-,-,-,-,-,-,Image
2016,10,13,18,13.5,127.3,35,0,-,-,-,N,120,60,Image
2016,10,14,0,13.6,126.7,40,0,-,-,-,N,120,60,Image
2016,10,14,6,13.7,126.3,45,0,-,-,-,N,120,90,Image
2016,10,14,12,13.8,125.9,55,0,symmetric,40,40,symmetric,120,120,Image
2016,10,14,18,14.0,125.4,55,0,symmetric,40,40,symmetric,120,120,Image
2016,10,15,0,14.3,124.6,65,0,symmetric,40,40,symmetric,120,120,Image
2016,10,15,6,14.7,123.9,80,0,symmetric,40,40,symmetric,150,150,Image
2016,10,15,12,15.1,123.0,85,0,symmetric,50,50,symmetric,150,150,Image
2016,10,15,18,15.8,121.8,95,0,symmetric,60,60,symmetric,150,150,Image
2016,10,16,0,16.2,119.8,75,0,symmetric,50,50,N,210,150,Image
2016,10,16,6,16.6,118.4,70,0,symmetric,50,50,N,210,150,Image
2016,10,16,12,16.8,117.2,65,0,symmetric,50,50,N,210,150,Image
2016,10,16,18,16.8,115.5,65,0,symmetric,50,50,NE,210,150,Image
2016,10,17,0,17.0,114.3,60,0,symmetric,50,50,NE,210,150,Image
2016,10,17,6,17.4,113.1,60,0,symmetric,50,50,NE,210,150,Image
2016,10,17,12,17.6,112.3,60,0,symmetric,50,50,NE,210,150,Image
2016,10,17,18,18.0,111.5,60,0,symmetric,60,60,N,210,150,Image
2016,10,18,0,18.6,110.7,60,0,symmetric,60,60,N,180,150,Image
2016,10,18,6,19.1,110.0,55,0,symmetric,60,60,symmetric,150,150,Image
2016,10,18,12,19.7,109.3,45,0,-,-,-,symmetric,120,120,Image
2016,10,18,18,20.3,108.8,40,0,-,-,-,symmetric,120,120,Image
2016,10,19,0,21.0,108.4,35,0,-,-,-,S,90,60,Image
2016,10,19,6,21.7,108.1,0,0,-,-,-,-,-,-,Image
2016,10,19,12,22.0,108.0,0,0,-,-,-,-,-,-,Image
2016,10,19,18,22.4,108.0,0,0,-,-,-,-,-,-,Image
