Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2004,11,21,18,15.6,124.9,0,0,-,-,-,-,-,-,Image
2004,11,22,0,15.6,123.6,0,0,-,-,-,-,-,-,Image
2004,11,22,6,15.7,122.5,35,0,-,-,-,symmetric,40,40,Image
2004,11,22,12,15.4,121.7,0,0,-,-,-,-,-,-,Image
2004,11,22,18,15.7,121.3,0,0,-,-,-,-,-,-,Image
2004,11,23,0,16.0,121.0,0,0,-,-,-,-,-,-,Image
2004,11,23,6,17.0,120.0,0,0,-,-,-,-,-,-,Image
