Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1993,9,9,0,19.0,124.0,0,0,-,-,-,-,-,-,Image
1993,9,9,6,19.2,124.1,0,0,-,-,-,-,-,-,Image
1993,9,9,12,19.3,124.2,0,0,-,-,-,-,-,-,Image
1993,9,9,18,19.4,124.2,0,0,-,-,-,-,-,-,Image
1993,9,10,0,19.6,124.1,35,0,-,-,-,symmetric,80,80,Image
1993,9,10,6,19.8,124.0,35,0,-,-,-,symmetric,100,100,Image
1993,9,10,12,19.9,123.8,45,0,-,-,-,symmetric,120,120,Image
1993,9,10,18,20.1,123.6,50,0,-,-,-,symmetric,120,120,Image
1993,9,11,0,20.4,123.2,55,0,symmetric,30,30,symmetric,140,140,Image
1993,9,11,6,20.6,122.6,55,0,symmetric,30,30,symmetric,140,140,Image
1993,9,11,12,20.7,122.0,55,0,symmetric,30,30,symmetric,140,140,Image
1993,9,11,18,20.8,121.2,55,0,symmetric,30,30,symmetric,140,140,Image
1993,9,12,0,21.0,120.4,60,0,symmetric,30,30,symmetric,140,140,Image
1993,9,12,6,21.1,119.7,65,0,symmetric,45,45,symmetric,150,150,Image
1993,9,12,12,21.3,119.2,75,0,symmetric,50,50,symmetric,150,150,Image
1993,9,12,18,21.5,118.8,80,0,symmetric,60,60,symmetric,150,150,Image
1993,9,13,0,21.9,118.3,80,0,symmetric,70,70,symmetric,150,150,Image
1993,9,13,6,22.1,117.9,85,0,symmetric,70,70,symmetric,150,150,Image
1993,9,13,12,22.3,117.6,85,0,symmetric,70,70,symmetric,150,150,Image
1993,9,13,18,22.6,117.1,80,0,symmetric,50,50,SE,120,90,Image
1993,9,14,0,23.1,116.4,60,0,symmetric,30,30,SE,100,60,Image
1993,9,14,6,23.6,115.2,45,0,-,-,-,symmetric,60,60,Image
1993,9,14,12,24.0,114.0,0,0,-,-,-,-,-,-,Image
1993,9,14,18,24.2,113.5,0,0,-,-,-,-,-,-,Image
1993,9,15,0,24.5,112.5,0,0,-,-,-,-,-,-,Image
1993,9,15,6,25.0,111.0,0,0,-,-,-,-,-,-,Image
