Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1990,4,28,6,6.0,152.0,0,0,-,-,-,-,-,-,Image
1990,4,28,12,7.0,152.0,0,0,-,-,-,-,-,-,Image
1990,4,28,18,8.0,151.0,0,0,-,-,-,-,-,-,Image
1990,4,29,0,8.5,150.5,0,0,-,-,-,-,-,-,Image
1990,4,29,6,9.5,150.5,0,0,-,-,-,-,-,-,Image
1990,4,29,12,10.0,150.5,0,0,-,-,-,-,-,-,Image
1990,4,29,18,10.5,150.5,35,0,-,-,-,symmetric,60,60,Image
1990,4,30,0,10.9,150.7,35,0,-,-,-,symmetric,60,60,Image
1990,4,30,6,11.2,150.8,35,0,-,-,-,symmetric,60,60,Image
1990,4,30,12,11.4,151.0,35,0,-,-,-,symmetric,60,60,Image
1990,4,30,18,11.5,151.5,35,0,-,-,-,symmetric,60,60,Image
1990,5,1,0,11.7,151.9,35,0,-,-,-,symmetric,60,60,Image
1990,5,1,6,12.0,152.3,35,0,-,-,-,symmetric,60,60,Image
1990,5,1,12,12.5,152.5,35,0,-,-,-,symmetric,60,60,Image
1990,5,1,18,12.8,152.5,35,0,-,-,-,symmetric,60,60,Image
1990,5,2,0,13.0,152.4,35,0,-,-,-,symmetric,60,60,Image
1990,5,2,6,13.3,152.0,35,0,-,-,-,symmetric,60,60,Image
1990,5,2,12,13.7,151.7,35,0,-,-,-,symmetric,60,60,Image
1990,5,2,18,14.1,151.4,35,0,-,-,-,symmetric,60,60,Image
1990,5,3,0,14.4,151.0,35,0,-,-,-,symmetric,60,60,Image
1990,5,3,6,14.8,150.4,35,0,-,-,-,symmetric,60,60,Image
1990,5,3,12,15.1,149.5,35,0,-,-,-,symmetric,60,60,Image
1990,5,3,18,15.5,148.7,0,0,-,-,-,-,-,-,Image
1990,5,4,0,16.0,148.0,0,0,-,-,-,-,-,-,Image
1990,5,4,6,16.0,147.0,0,0,-,-,-,-,-,-,Image
