Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2012,6,10,12,7.2,148.6,0,0,-,-,-,-,-,-,Image
2012,6,10,18,8.8,148.2,0,0,-,-,-,-,-,-,Image
2012,6,11,0,9.0,147.3,0,0,-,-,-,-,-,-,Image
2012,6,11,6,9.1,146.4,0,0,-,-,-,-,-,-,Image
2012,6,11,12,9.3,145.5,0,0,-,-,-,-,-,-,Image
2012,6,11,18,9.4,144.6,0,0,-,-,-,-,-,-,Image
2012,6,12,0,9.6,143.7,0,0,-,-,-,-,-,-,Image
2012,6,12,6,9.5,143.0,0,0,-,-,-,-,-,-,Image
2012,6,12,12,9.5,142.2,0,0,-,-,-,-,-,-,Image
2012,6,12,18,9.4,141.5,0,0,-,-,-,-,-,-,Image
2012,6,13,0,9.3,140.7,0,0,-,-,-,-,-,-,Image
2012,6,13,6,10.0,139.3,0,0,-,-,-,-,-,-,Image
2012,6,13,12,10.7,138.0,35,0,-,-,-,symmetric,90,90,Image
2012,6,13,18,10.8,136.6,45,0,-,-,-,symmetric,90,90,Image
2012,6,14,0,10.9,135.2,50,0,-,-,-,symmetric,90,90,Image
2012,6,14,6,10.7,134.1,50,0,-,-,-,symmetric,90,90,Image
2012,6,14,12,10.7,132.8,50,0,-,-,-,symmetric,90,90,Image
2012,6,14,18,10.4,132.2,55,0,symmetric,40,40,symmetric,90,90,Image
2012,6,15,0,10.3,131.4,60,0,symmetric,50,50,symmetric,100,100,Image
2012,6,15,6,10.4,131.2,60,0,symmetric,50,50,symmetric,140,140,Image
2012,6,15,12,11.2,130.9,60,0,symmetric,50,50,symmetric,140,140,Image
2012,6,15,18,11.9,130.5,60,0,symmetric,50,50,symmetric,140,140,Image
2012,6,16,0,12.9,130.2,70,0,symmetric,50,50,SE,200,180,Image
2012,6,16,6,14.0,129.6,85,0,symmetric,50,50,SE,200,180,Image
2012,6,16,12,14.9,128.8,100,0,symmetric,70,70,SE,250,200,Image
2012,6,16,18,16.2,128.4,100,0,symmetric,70,70,SE,250,200,Image
2012,6,17,0,17.2,127.6,100,0,symmetric,70,70,SE,250,200,Image
2012,6,17,6,18.3,127.3,100,0,symmetric,90,90,SE,250,200,Image
2012,6,17,12,19.6,127.0,90,0,symmetric,90,90,SE,250,200,Image
2012,6,17,18,20.8,127.0,85,0,SE,100,60,SE,250,200,Image
2012,6,18,0,22.2,127.4,85,0,SE,100,60,SE,250,200,Image
2012,6,18,3,23.0,127.6,85,0,SE,100,60,SE,250,200,Image
2012,6,18,6,23.8,127.9,80,0,SE,100,60,SE,270,180,Image
2012,6,18,9,24.6,128.2,80,0,SE,100,60,SE,270,180,Image
2012,6,18,12,25.3,128.7,80,0,SE,100,60,SE,270,180,Image
2012,6,18,15,26.2,129.4,80,0,SE,100,60,SE,270,180,Image
2012,6,18,18,27.3,130.0,75,0,SE,100,60,SE,270,180,Image
2012,6,18,21,28.6,130.9,75,0,SE,100,60,SE,270,180,Image
2012,6,19,0,29.9,131.8,70,0,SE,100,60,SE,270,180,Image
2012,6,19,3,30.8,133.1,70,0,SE,100,60,SE,270,180,Image
2012,6,19,6,32.4,134.7,70,0,SE,100,60,SE,270,180,Image
2012,6,19,8,33.4,135.5,70,0,SE,100,60,SE,270,180,Image
2012,6,19,9,33.8,135.9,70,0,SE,100,60,SE,270,180,Image
2012,6,19,11,34.7,137.0,65,0,SE,150,60,SE,270,180,Image
2012,6,19,12,35.1,137.6,60,0,SE,150,60,SE,270,180,Image
2012,6,19,15,36.2,139.0,55,0,SE,150,60,SE,300,180,Image
2012,6,19,18,37.3,140.7,50,0,-,-,-,SE,300,180,Image
2012,6,19,21,37.9,142.0,50,0,-,-,-,SE,300,180,Image
2012,6,20,0,38.0,143.0,0,0,-,-,-,-,-,-,Image
2012,6,20,6,39.5,144.2,0,0,-,-,-,-,-,-,Image
2012,6,20,12,40.2,145.4,0,0,-,-,-,-,-,-,Image
2012,6,20,18,40.9,145.4,0,0,-,-,-,-,-,-,Image
2012,6,21,0,41.5,145.7,0,0,-,-,-,-,-,-,Image
2012,6,21,6,42.0,146.0,0,0,-,-,-,-,-,-,Image
2012,6,21,12,42.2,146.2,0,0,-,-,-,-,-,-,Image
2012,6,21,18,42.3,146.4,0,0,-,-,-,-,-,-,Image
2012,6,22,0,42.4,146.7,0,0,-,-,-,-,-,-,Image
2012,6,22,6,42.7,146.9,0,0,-,-,-,-,-,-,Image
