Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1988,8,5,18,26.5,174.5,0,0,-,-,-,-,-,-,Image
1988,8,6,0,27.0,173.5,0,0,-,-,-,-,-,-,Image
1988,8,6,6,27.5,172.0,0,0,-,-,-,-,-,-,Image
1988,8,6,12,28.0,170.5,0,0,-,-,-,-,-,-,Image
1988,8,6,18,28.0,169.0,0,0,-,-,-,-,-,-,Image
1988,8,7,0,28.0,168.0,0,0,-,-,-,-,-,-,Image
1988,8,7,6,28.0,167.0,0,0,-,-,-,-,-,-,Image
1988,8,7,12,28.0,166.0,0,0,-,-,-,-,-,-,Image
1988,8,7,18,28.0,165.0,0,0,-,-,-,-,-,-,Image
1988,8,8,0,28.0,164.5,0,0,-,-,-,-,-,-,Image
1988,8,8,6,28.0,164.0,0,0,-,-,-,-,-,-,Image
1988,8,8,12,28.0,163.5,0,0,-,-,-,-,-,-,Image
1988,8,8,18,28.5,164.0,0,0,-,-,-,-,-,-,Image
1988,8,9,0,29.0,164.0,0,0,-,-,-,-,-,-,Image
1988,8,9,6,29.0,163.5,0,0,-,-,-,-,-,-,Image
1988,8,9,12,29.0,163.0,0,0,-,-,-,-,-,-,Image
1988,8,9,18,28.5,162.5,0,0,-,-,-,-,-,-,Image
1988,8,10,0,29.0,162.0,0,0,-,-,-,-,-,-,Image
1988,8,10,6,29.0,161.5,0,0,-,-,-,-,-,-,Image
1988,8,10,12,29.0,161.0,35,0,-,-,-,symmetric,150,150,Image
1988,8,10,18,29.0,161.5,40,0,-,-,-,symmetric,150,150,Image
1988,8,11,0,29.4,161.0,40,0,-,-,-,symmetric,150,150,Image
1988,8,11,6,28.5,160.7,40,0,-,-,-,symmetric,150,150,Image
1988,8,11,12,28.5,161.2,40,0,-,-,-,symmetric,150,150,Image
1988,8,11,18,28.9,161.3,40,0,-,-,-,symmetric,150,150,Image
1988,8,12,0,29.5,161.3,35,0,-,-,-,symmetric,100,100,Image
1988,8,12,6,30.1,161.3,35,0,-,-,-,symmetric,100,100,Image
1988,8,12,12,30.8,161.5,35,0,-,-,-,symmetric,100,100,Image
1988,8,12,18,31.6,161.7,35,0,-,-,-,symmetric,100,100,Image
1988,8,13,0,32.4,161.8,35,0,-,-,-,symmetric,100,100,Image
1988,8,13,6,33.4,161.4,35,0,-,-,-,symmetric,80,80,Image
1988,8,13,12,34.3,160.9,35,0,-,-,-,symmetric,80,80,Image
1988,8,13,18,35.2,160.1,35,0,-,-,-,symmetric,80,80,Image
1988,8,14,0,36.0,159.3,35,0,-,-,-,symmetric,90,90,Image
1988,8,14,6,37.0,158.3,35,0,-,-,-,symmetric,90,90,Image
1988,8,14,12,38.0,157.0,0,0,-,-,-,-,-,-,Image
1988,8,14,18,38.8,155.5,0,0,-,-,-,-,-,-,Image
1988,8,15,0,39.5,154.0,0,0,-,-,-,-,-,-,Image
1988,8,15,6,40.0,153.0,0,0,-,-,-,-,-,-,Image
1988,8,15,12,40.6,152.2,0,0,-,-,-,-,-,-,Image
1988,8,15,18,41.5,151.5,0,0,-,-,-,-,-,-,Image
1988,8,16,0,43.0,151.0,0,0,-,-,-,-,-,-,Image
1988,8,16,6,44.0,151.0,0,0,-,-,-,-,-,-,Image
1988,8,16,12,44.5,151.5,0,0,-,-,-,-,-,-,Image
1988,8,16,18,45.5,153.0,0,0,-,-,-,-,-,-,Image
