Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1978,9,9,0,17.0,124.0,0,0,-,-,-,-,-,-,--
1978,9,9,6,17.4,123.4,0,0,-,-,-,-,-,-,--
1978,9,9,12,17.9,123.0,0,0,-,-,-,-,-,-,--
1978,9,9,18,18.9,122.0,0,0,-,-,-,-,-,-,--
1978,9,10,0,19.9,121.0,0,0,-,-,-,-,-,-,--
1978,9,10,6,20.4,121.0,0,0,-,-,-,-,-,-,--
1978,9,10,12,21.0,121.0,0,0,-,-,-,-,-,-,--
1978,9,10,18,21.4,121.3,0,0,-,-,-,-,-,-,--
1978,9,11,0,22.0,121.6,0,0,-,-,-,-,-,-,--
1978,9,11,6,22.5,121.8,0,0,-,-,-,-,-,-,--
1978,9,11,12,23.4,122.0,0,0,-,-,-,-,-,-,--
1978,9,11,18,24.2,122.3,45,0,-,-,-,symmetric,100,100,--
1978,9,12,0,25.0,122.4,50,0,-,-,-,symmetric,120,120,--
1978,9,12,6,25.4,123.0,50,0,-,-,-,symmetric,120,120,--
1978,9,12,12,25.8,123.6,55,0,symmetric,30,30,symmetric,120,120,--
1978,9,12,18,26.5,123.6,55,0,symmetric,30,30,symmetric,120,120,--
1978,9,13,0,27.2,123.6,55,0,symmetric,30,30,symmetric,120,120,--
1978,9,13,6,27.8,123.6,60,0,symmetric,40,40,symmetric,130,130,--
1978,9,13,12,28.5,123.8,60,0,symmetric,40,40,symmetric,130,130,--
1978,9,13,18,29.3,124.5,60,0,symmetric,40,40,symmetric,130,130,--
1978,9,14,0,29.9,125.0,60,0,symmetric,50,50,symmetric,130,130,--
1978,9,14,6,30.9,125.3,60,0,symmetric,50,50,E,150,130,--
1978,9,14,12,31.5,126.2,60,0,symmetric,50,50,E,150,130,--
1978,9,14,18,32.4,127.3,65,0,symmetric,60,60,SE,160,130,--
1978,9,15,0,33.2,128.8,65,0,symmetric,60,60,SE,160,130,--
1978,9,15,6,34.2,130.5,60,0,symmetric,50,50,SE,130,100,--
1978,9,15,12,34.7,133.0,45,0,-,-,-,symmetric,60,60,--
1978,9,15,18,35.5,135.2,0,0,-,-,-,-,-,-,--
