Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2013,8,18,6,12.0,180.4,45,0,-,-,-,symmetric,90,90,Image
2013,8,18,12,12.4,179.7,45,0,-,-,-,symmetric,90,90,Image
2013,8,18,18,12.7,179.0,45,0,-,-,-,symmetric,90,90,Image
2013,8,19,0,13.3,178.4,55,0,symmetric,20,20,symmetric,90,90,Image
2013,8,19,6,13.8,177.8,55,0,symmetric,20,20,symmetric,90,90,Image
2013,8,19,12,14.3,177.1,55,0,symmetric,20,20,symmetric,90,90,Image
2013,8,19,18,14.8,176.5,45,0,-,-,-,symmetric,90,90,Image
2013,8,20,0,15.3,175.6,45,0,-,-,-,N,90,70,Image
2013,8,20,6,16.2,174.8,40,0,-,-,-,N,90,70,Image
2013,8,20,12,17.2,173.8,40,0,-,-,-,N,90,70,Image
2013,8,20,18,18.0,172.8,40,0,-,-,-,N,90,70,Image
2013,8,21,0,18.6,171.8,35,0,-,-,-,NE,90,70,Image
2013,8,21,6,19.4,171.2,35,0,-,-,-,NE,120,50,Image
2013,8,21,12,20.2,170.5,35,0,-,-,-,NE,120,50,Image
2013,8,21,18,21.3,170.1,35,0,-,-,-,NE,120,50,Image
2013,8,22,0,22.2,169.7,35,0,-,-,-,NE,120,50,Image
2013,8,22,6,23.2,169.6,35,0,-,-,-,NE,120,50,Image
2013,8,22,12,24.2,169.3,35,0,-,-,-,NE,120,50,Image
2013,8,22,18,25.2,168.9,35,0,-,-,-,NE,120,50,Image
2013,8,23,0,25.8,168.5,35,0,-,-,-,NE,120,50,Image
2013,8,23,6,26.4,168.5,35,0,-,-,-,NE,120,50,Image
2013,8,23,12,26.8,168.9,35,0,-,-,-,NE,120,50,Image
2013,8,23,18,27.2,169.3,35,0,-,-,-,NE,120,50,Image
2013,8,24,0,27.5,169.3,35,0,-,-,-,NE,120,50,Image
2013,8,24,6,27.9,168.8,35,0,-,-,-,NE,120,50,Image
2013,8,24,12,28.2,168.1,35,0,-,-,-,NE,120,50,Image
2013,8,24,18,28.3,167.5,35,0,-,-,-,NE,150,60,Image
2013,8,25,0,28.5,166.9,0,0,-,-,-,-,-,-,Image
2013,8,25,6,28.7,166.2,0,0,-,-,-,-,-,-,Image
2013,8,25,12,29.0,166.0,0,0,-,-,-,-,-,-,Image
2013,8,25,18,29.6,165.8,0,0,-,-,-,-,-,-,Image
2013,8,26,0,30.8,165.3,0,0,-,-,-,-,-,-,Image
2013,8,26,6,32.0,165.3,0,0,-,-,-,-,-,-,Image
2013,8,26,12,33.4,165.6,0,0,-,-,-,-,-,-,Image
2013,8,26,18,35.2,165.8,0,0,-,-,-,-,-,-,Image
