Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2016,8,17,0,26.4,159.1,0,0,-,-,-,-,-,-,Image
2016,8,17,6,27.0,157.0,0,0,-,-,-,-,-,-,Image
2016,8,17,12,27.4,155.4,0,0,-,-,-,-,-,-,Image
2016,8,17,18,28.3,153.6,0,0,-,-,-,-,-,-,Image
2016,8,18,0,29.3,152.0,0,0,-,-,-,-,-,-,Image
2016,8,18,6,30.4,150.4,0,0,-,-,-,-,-,-,Image
2016,8,18,12,31.4,148.6,0,0,-,-,-,-,-,-,Image
2016,8,18,18,32.2,146.8,0,0,-,-,-,-,-,-,Image
2016,8,19,0,32.9,144.9,0,0,-,-,-,-,-,-,Image
2016,8,19,6,33.1,142.8,0,0,-,-,-,-,-,-,Image
2016,8,19,12,33.1,141.3,0,0,-,-,-,-,-,-,Image
2016,8,19,18,32.3,139.7,0,0,-,-,-,-,-,-,Image
2016,8,20,0,31.5,138.5,0,0,-,-,-,-,-,-,Image
2016,8,20,6,31.0,137.6,0,0,-,-,-,-,-,-,Image
2016,8,20,12,30.5,136.7,0,0,-,-,-,-,-,-,Image
2016,8,20,18,30.1,135.5,0,0,-,-,-,-,-,-,Image
2016,8,21,0,29.8,134.3,0,0,-,-,-,-,-,-,Image
2016,8,21,6,29.5,133.7,0,0,-,-,-,-,-,-,Image
2016,8,21,12,29.2,133.3,35,0,-,-,-,symmetric,100,100,Image
2016,8,21,18,28.8,133.2,40,0,-,-,-,symmetric,100,100,Image
2016,8,22,0,28.8,133.4,40,0,-,-,-,symmetric,100,100,Image
2016,8,22,6,28.7,133.7,40,0,-,-,-,symmetric,100,100,Image
2016,8,22,12,28.5,134.1,40,0,-,-,-,symmetric,100,100,Image
2016,8,22,18,28.2,134.3,45,0,-,-,-,symmetric,100,100,Image
2016,8,23,0,28.0,134.4,50,0,-,-,-,symmetric,100,100,Image
2016,8,23,6,27.3,134.2,55,0,symmetric,30,30,symmetric,100,100,Image
2016,8,23,12,26.6,134.0,60,0,symmetric,30,30,symmetric,100,100,Image
2016,8,23,18,25.8,133.3,70,0,symmetric,40,40,symmetric,100,100,Image
2016,8,24,0,25.3,132.8,75,0,symmetric,50,50,symmetric,120,120,Image
2016,8,24,6,24.8,132.3,80,0,symmetric,50,50,symmetric,120,120,Image
2016,8,24,12,24.4,131.8,80,0,symmetric,50,50,symmetric,120,120,Image
2016,8,24,18,23.9,131.4,85,0,symmetric,50,50,symmetric,120,120,Image
2016,8,25,0,23.6,131.1,85,0,symmetric,50,50,symmetric,120,120,Image
2016,8,25,6,23.5,130.9,85,0,symmetric,50,50,symmetric,120,120,Image
2016,8,25,12,23.5,130.8,85,0,symmetric,50,50,symmetric,120,120,Image
2016,8,25,18,23.1,130.5,85,0,symmetric,50,50,symmetric,150,150,Image
2016,8,26,0,23.2,131.0,85,0,symmetric,50,50,symmetric,150,150,Image
2016,8,26,6,23.1,131.3,85,0,symmetric,50,50,SE,180,150,Image
2016,8,26,12,23.2,132.1,80,0,symmetric,50,50,SE,270,150,Image
2016,8,26,18,23.5,132.5,80,0,symmetric,50,50,SE,270,150,Image
2016,8,27,0,23.7,133.1,85,0,symmetric,60,60,SE,325,150,Image
2016,8,27,6,24.0,133.9,85,0,symmetric,70,70,SE,350,180,Image
2016,8,27,12,24.5,134.6,85,0,symmetric,70,70,SE,350,180,Image
2016,8,27,18,25.1,135.6,85,0,symmetric,70,70,SE,350,180,Image
2016,8,28,0,26.1,136.6,85,0,symmetric,70,70,SE,350,180,Image
2016,8,28,6,27.7,137.9,90,0,SE,80,60,SE,325,180,Image
2016,8,28,12,28.5,138.8,90,0,SE,80,60,SE,300,180,Image
2016,8,28,18,29.4,140.5,90,0,SE,80,60,SE,300,180,Image
2016,8,29,0,30.4,141.7,85,0,SE,80,60,SE,300,180,Image
2016,8,29,6,31.3,142.7,80,0,SE,80,60,SE,300,200,Image
2016,8,29,12,32.3,143.4,75,0,SE,80,60,SE,300,200,Image
2016,8,29,18,34.0,143.6,70,0,E,90,40,SE,300,210,Image
2016,8,29,21,34.8,143.4,70,0,E,90,40,SE,300,210,Image
2016,8,30,0,35.6,143.0,65,0,E,90,40,SE,300,210,Image
2016,8,30,3,36.6,142.4,65,0,NE,100,50,SE,325,240,Image
2016,8,30,6,37.8,142.2,65,0,NE,120,60,SE,325,240,Image
2016,8,30,8,38.8,142.0,65,0,NE,120,60,SE,325,240,Image
2016,8,30,9,39.3,141.7,60,0,NE,120,60,SE,325,240,Image
2016,8,30,12,41.3,140.0,60,0,NE,120,60,SE,325,240,Image
2016,8,30,15,42.0,138.0,0,0,-,-,-,-,-,-,Image
2016,8,30,18,43.9,135.7,0,0,-,-,-,-,-,-,Image
