Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1980,7,15,18,9.8,150.0,0,0,-,-,-,-,-,-,--
1980,7,16,0,9.8,148.5,0,0,-,-,-,-,-,-,--
1980,7,16,6,9.8,147.2,0,0,-,-,-,-,-,-,--
1980,7,16,12,10.5,146.2,0,0,-,-,-,-,-,-,--
1980,7,16,18,11.0,145.3,0,0,-,-,-,-,-,-,--
1980,7,17,0,11.6,144.3,0,0,-,-,-,-,-,-,--
1980,7,17,6,12.2,143.3,0,0,-,-,-,-,-,-,--
1980,7,17,12,12.6,141.9,0,0,-,-,-,-,-,-,--
1980,7,17,18,13.0,140.4,0,0,-,-,-,-,-,-,--
1980,7,18,0,13.4,138.9,0,0,-,-,-,-,-,-,--
1980,7,18,6,13.7,137.5,35,0,-,-,-,N,150,90,--
1980,7,18,12,14.0,136.0,40,0,-,-,-,N,150,100,--
1980,7,18,18,14.3,134.6,45,0,-,-,-,N,150,100,--
1980,7,19,0,14.6,133.2,50,0,symmetric,50,50,N,250,200,--
1980,7,19,6,14.9,131.7,55,0,symmetric,50,50,N,250,200,--
1980,7,19,12,15.2,130.0,70,0,symmetric,90,90,N,250,150,--
1980,7,19,18,15.4,128.3,70,0,N,100,70,N,250,150,--
1980,7,20,0,15.7,126.7,70,0,N,150,100,N,300,200,--
1980,7,20,6,16.0,124.8,75,0,N,150,100,N,300,200,--
1980,7,20,12,16.5,123.5,85,0,NE,150,100,NE,300,200,--
1980,7,20,18,17.0,122.1,80,0,NE,150,100,NE,300,200,--
1980,7,21,0,17.4,120.7,65,0,symmetric,50,50,N,175,125,--
1980,7,21,6,18.0,119.0,75,0,symmetric,75,75,N,200,150,--
1980,7,21,12,18.4,117.3,70,0,symmetric,65,65,N,200,150,--
1980,7,21,18,18.7,115.7,70,0,symmetric,75,75,N,200,150,--
1980,7,22,0,19.0,114.0,70,0,symmetric,65,65,N,200,150,--
1980,7,22,6,19.5,112.3,70,0,symmetric,75,75,symmetric,300,300,--
1980,7,22,12,20.0,110.3,70,0,symmetric,75,75,symmetric,300,300,--
1980,7,22,18,20.4,108.5,70,0,symmetric,75,75,symmetric,300,300,--
1980,7,23,0,20.8,107.0,55,0,symmetric,50,50,SE,150,100,--
1980,7,23,6,20.5,105.5,45,0,-,-,-,symmetric,150,150,--
1980,7,23,12,20.5,104.0,0,0,-,-,-,-,-,-,--
1980,7,23,18,20.5,102.0,0,0,-,-,-,-,-,-,--
1980,7,24,0,21.0,101.0,0,0,-,-,-,-,-,-,--
