Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2023,5,19,12,6.0,149.0,30,45,-,-,-,-,-,-,Image
2023,5,19,15,6.0,149.0,30,45,-,-,-,-,-,-,Image
2023,5,19,18,6.3,149.0,30,45,-,-,-,-,-,-,Image
2023,5,19,21,6.4,149.0,30,45,-,-,-,-,-,-,Image
2023,5,20,0,6.5,148.9,30,45,-,-,-,-,-,-,Image
2023,5,20,3,6.5,148.9,30,45,-,-,-,-,-,-,Image
2023,5,20,6,6.6,148.9,35,50,-,-,-,symmetric,240,240,Image
2023,5,20,9,6.6,148.9,35,50,-,-,-,symmetric,240,240,Image
2023,5,20,12,6.7,148.9,40,60,-,-,-,symmetric,240,240,Image
2023,5,20,15,6.7,148.9,40,60,-,-,-,symmetric,240,240,Image
2023,5,20,18,6.7,148.9,45,65,-,-,-,symmetric,240,240,Image
2023,5,20,21,6.9,149.0,45,65,-,-,-,symmetric,240,240,Image
2023,5,21,0,7.1,148.9,50,70,-,-,-,symmetric,240,240,Image
2023,5,21,3,7.2,148.7,50,70,-,-,-,symmetric,240,240,Image
2023,5,21,6,7.5,148.1,55,80,symmetric,30,30,symmetric,240,240,Image
2023,5,21,9,7.7,148.1,55,80,symmetric,30,30,symmetric,240,240,Image
2023,5,21,12,7.7,147.9,60,85,symmetric,30,30,symmetric,240,240,Image
2023,5,21,15,7.7,147.7,60,85,symmetric,30,30,symmetric,240,240,Image
2023,5,21,18,7.8,147.7,65,95,symmetric,30,30,symmetric,240,240,Image
2023,5,21,21,8.4,147.5,65,95,symmetric,30,30,symmetric,240,240,Image
2023,5,22,0,8.7,147.4,70,100,symmetric,30,30,symmetric,240,240,Image
2023,5,22,3,9.0,147.2,70,100,symmetric,30,30,symmetric,240,240,Image
2023,5,22,6,9.4,147.0,70,100,symmetric,30,30,symmetric,210,210,Image
2023,5,22,9,9.8,146.9,70,100,symmetric,30,30,symmetric,210,210,Image
2023,5,22,12,10.0,146.9,75,105,symmetric,30,30,symmetric,210,210,Image
2023,5,22,15,10.1,146.7,75,105,symmetric,30,30,symmetric,210,210,Image
2023,5,22,18,10.5,146.8,80,115,symmetric,45,45,symmetric,210,210,Image
2023,5,22,21,10.7,146.8,80,115,symmetric,45,45,symmetric,210,210,Image
2023,5,23,0,11.2,146.9,85,120,symmetric,50,50,symmetric,210,210,Image
2023,5,23,3,11.4,146.6,90,130,symmetric,55,55,symmetric,210,210,Image
2023,5,23,6,11.8,146.5,100,140,symmetric,70,70,symmetric,210,210,Image
2023,5,23,9,12.1,146.3,100,140,symmetric,70,70,symmetric,210,210,Image
2023,5,23,12,12.2,146.1,100,140,symmetric,70,70,symmetric,210,210,Image
2023,5,23,15,12.4,145.8,100,140,symmetric,70,70,symmetric,210,210,Image
2023,5,23,18,12.5,145.7,100,140,symmetric,70,70,symmetric,210,210,Image
2023,5,23,21,12.7,145.6,100,140,symmetric,70,70,symmetric,210,210,Image
2023,5,24,0,13.0,145.6,100,140,symmetric,70,70,symmetric,210,210,Image
2023,5,24,3,13.4,145.5,100,140,symmetric,70,70,symmetric,210,210,Image
2023,5,24,6,13.6,145.3,95,135,symmetric,65,65,symmetric,210,210,Image
2023,5,24,9,13.7,145.0,95,135,symmetric,65,65,symmetric,210,210,Image
2023,5,24,12,13.8,144.8,95,135,symmetric,65,65,symmetric,210,210,Image
2023,5,24,15,14.0,144.5,95,135,symmetric,65,65,symmetric,210,210,Image
2023,5,24,18,14.1,144.1,95,135,symmetric,65,65,NE,210,150,Image
2023,5,24,21,14.1,143.9,100,140,symmetric,70,70,NE,210,150,Image
2023,5,25,0,14.3,143.5,100,140,symmetric,70,70,NE,210,150,Image
2023,5,25,3,14.3,143.1,105,150,symmetric,70,70,NE,210,150,Image
2023,5,25,6,14.5,142.7,110,155,symmetric,70,70,NE,210,150,Image
2023,5,25,9,14.7,142.2,110,155,symmetric,70,70,NE,210,150,Image
2023,5,25,12,14.8,141.6,110,155,symmetric,90,90,NE,210,180,Image
2023,5,25,15,14.8,141.0,110,155,symmetric,90,90,NE,210,180,Image
2023,5,25,18,14.9,140.5,110,155,symmetric,90,90,NE,240,180,Image
2023,5,25,21,15.0,139.8,110,155,symmetric,90,90,NE,240,180,Image
2023,5,26,0,15.1,139.2,115,165,symmetric,100,100,NE,240,210,Image
2023,5,26,3,15.2,138.6,115,165,symmetric,100,100,NE,240,210,Image
2023,5,26,6,15.3,138.0,115,165,symmetric,100,100,symmetric,240,240,Image
2023,5,26,9,15.5,137.2,115,165,symmetric,100,100,symmetric,240,240,Image
2023,5,26,12,15.7,136.5,115,165,symmetric,100,100,symmetric,240,240,Image
2023,5,26,15,15.8,135.7,115,165,symmetric,100,100,NE,270,240,Image
2023,5,26,18,16.0,135.0,105,150,symmetric,100,100,NE,270,240,Image
2023,5,26,21,16.2,134.3,105,150,symmetric,100,100,NE,270,240,Image
2023,5,27,0,16.4,133.5,100,140,symmetric,100,100,NE,270,240,Image
2023,5,27,3,16.5,132.8,100,140,symmetric,100,100,NE,270,240,Image
2023,5,27,6,16.6,132.2,100,140,symmetric,100,100,NE,350,270,Image
2023,5,27,9,16.8,131.6,100,140,symmetric,100,100,NE,350,270,Image
2023,5,27,12,16.8,130.9,95,135,symmetric,100,100,NE,400,270,Image
2023,5,27,15,16.9,130.4,95,135,symmetric,100,100,NE,400,270,Image
2023,5,27,18,17.1,129.7,95,135,symmetric,100,100,NE,400,270,Image
2023,5,27,21,17.2,129.3,95,135,symmetric,100,100,NE,400,270,Image
2023,5,28,0,17.3,128.7,95,135,symmetric,100,100,NE,400,270,Image
2023,5,28,3,17.4,128.4,95,135,NE,120,80,NE,425,270,Image
2023,5,28,6,17.6,128.0,85,120,NE,120,80,NE,425,270,Image
2023,5,28,9,17.8,127.7,85,120,NE,120,80,NE,425,270,Image
2023,5,28,12,17.9,127.4,85,120,NE,120,80,NE,425,270,Image
2023,5,28,15,18.2,127.1,85,120,NE,120,80,NE,425,270,Image
2023,5,28,18,18.6,126.7,85,120,E,120,80,E,425,270,Image
2023,5,28,21,18.8,126.6,85,120,E,120,80,E,425,270,Image
2023,5,29,0,19.0,126.2,85,120,E,120,80,E,425,270,Image
2023,5,29,3,19.2,126.0,85,120,E,120,80,E,425,270,Image
2023,5,29,6,19.4,125.8,85,120,E,120,80,E,425,270,Image
2023,5,29,9,19.6,125.6,85,120,E,120,80,E,425,270,Image
2023,5,29,12,19.7,125.6,85,120,E,120,80,E,425,270,Image
2023,5,29,15,19.8,125.6,85,120,E,120,80,E,375,270,Image
2023,5,29,18,20.1,125.4,85,120,SE,120,80,SE,375,270,Image
2023,5,29,21,20.2,125.3,85,120,SE,120,80,SE,375,270,Image
2023,5,30,0,20.4,125.0,80,115,SE,120,80,SE,375,270,Image
2023,5,30,3,20.5,125.0,80,115,SE,120,80,SE,375,270,Image
2023,5,30,6,20.6,125.0,80,115,SE,120,80,SE,375,270,Image
2023,5,30,9,20.6,125.0,80,115,SE,120,80,SE,375,270,Image
2023,5,30,12,20.8,125.0,75,105,SE,120,80,SE,375,270,Image
2023,5,30,15,21.0,124.9,75,105,SE,120,80,SE,375,270,Image
2023,5,30,18,21.1,124.9,70,100,symmetric,90,90,S,375,240,Image
2023,5,30,21,21.3,125.0,70,100,symmetric,90,90,S,375,240,Image
2023,5,31,0,21.4,125.1,70,100,symmetric,90,90,S,375,240,Image
2023,5,31,3,21.8,125.2,70,100,symmetric,90,90,S,375,240,Image
2023,5,31,6,22.2,125.3,70,100,symmetric,90,90,SE,375,240,Image
2023,5,31,9,22.5,125.4,70,100,symmetric,90,90,SE,375,240,Image
2023,5,31,12,22.7,125.4,65,95,symmetric,90,90,SE,375,240,Image
2023,5,31,15,23.0,125.5,65,95,symmetric,90,90,S,425,240,Image
2023,5,31,18,23.4,125.6,60,85,E,90,70,S,425,240,Image
2023,5,31,21,23.8,125.6,60,85,E,90,70,S,425,240,Image
2023,6,1,0,24.1,125.8,55,80,E,90,70,S,425,240,Image
2023,6,1,3,24.5,125.9,55,80,E,90,70,S,350,240,Image
2023,6,1,6,25.0,126.1,50,70,-,-,-,S,350,240,Image
2023,6,1,9,25.3,126.7,50,70,-,-,-,S,350,240,Image
2023,6,1,12,26.0,127.2,50,70,-,-,-,S,350,240,Image
2023,6,1,15,26.3,127.7,50,70,-,-,-,E,300,240,Image
2023,6,1,18,26.8,128.1,50,70,-,-,-,E,300,240,Image
2023,6,1,21,27.1,129.0,50,70,-,-,-,E,300,240,Image
2023,6,2,0,27.3,129.9,45,65,-,-,-,E,300,240,Image
2023,6,2,3,27.8,130.5,45,65,-,-,-,E,300,240,Image
2023,6,2,6,28.2,131.2,45,65,-,-,-,E,300,240,Image
2023,6,2,9,28.6,132.1,45,65,-,-,-,E,300,240,Image
2023,6,2,12,29.3,132.9,45,65,-,-,-,E,300,240,Image
2023,6,2,15,29.7,133.8,45,65,-,-,-,SE,350,210,Image
2023,6,2,18,30.1,134.9,45,65,-,-,-,SE,350,210,Image
2023,6,2,21,30.5,136.5,45,65,-,-,-,SE,350,210,Image
2023,6,3,0,30.9,137.8,45,65,-,-,-,SE,350,210,Image
2023,6,3,3,31.3,139.2,45,65,-,-,-,SE,350,210,Image
2023,6,3,6,32.0,141.0,45,0,-,-,-,SE,400,200,Image
