Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1981,9,19,0,25.0,168.0,0,0,-,-,-,-,-,-,Image
1981,9,19,6,25.3,167.3,0,0,-,-,-,-,-,-,Image
1981,9,19,12,25.7,166.7,0,0,-,-,-,-,-,-,Image
1981,9,19,18,26.0,166.0,0,0,-,-,-,-,-,-,Image
1981,9,20,0,26.4,165.2,0,0,-,-,-,-,-,-,Image
1981,9,20,6,26.7,164.3,35,0,-,-,-,symmetric,75,75,Image
1981,9,20,12,26.9,163.4,35,0,-,-,-,symmetric,75,75,Image
1981,9,20,18,27.0,162.4,40,0,-,-,-,NE,100,50,Image
1981,9,21,0,27.3,161.7,50,0,-,-,-,NE,125,75,Image
1981,9,21,6,27.9,161.4,65,0,symmetric,50,50,NE,200,150,Image
1981,9,21,12,28.5,161.4,65,0,symmetric,50,50,NE,200,150,Image
1981,9,21,18,29.1,161.8,70,0,symmetric,50,50,NE,200,150,Image
1981,9,22,0,29.4,162.4,70,0,symmetric,100,100,NE,250,200,Image
1981,9,22,6,29.9,163.1,70,0,symmetric,100,100,NE,250,150,Image
1981,9,22,12,30.9,164.4,70,0,symmetric,100,100,NE,250,150,Image
1981,9,22,18,32.4,165.8,70,0,symmetric,100,100,NE,250,150,Image
1981,9,23,0,34.0,167.3,65,0,symmetric,60,60,symmetric,200,200,Image
1981,9,23,6,35.3,169.2,55,0,symmetric,50,50,symmetric,150,150,Image
1981,9,23,12,36.6,171.1,45,0,-,-,-,symmetric,150,150,Image
1981,9,23,18,37.8,173.0,0,0,-,-,-,-,-,-,Image
1981,9,24,0,39.0,175.0,0,0,-,-,-,-,-,-,Image
1981,9,24,6,39.5,177.0,0,0,-,-,-,-,-,-,Image
1981,9,24,12,39.5,179.0,0,0,-,-,-,-,-,-,Image
