Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2000,5,4,18,8.8,137.5,0,0,-,-,-,-,-,-,Image
2000,5,5,0,9.7,136.0,0,0,-,-,-,-,-,-,Image
2000,5,5,6,9.9,135.0,0,0,-,-,-,-,-,-,Image
2000,5,5,12,10.2,134.4,0,0,-,-,-,-,-,-,Image
2000,5,5,18,10.7,133.7,0,0,-,-,-,-,-,-,Image
2000,5,6,0,11.1,133.0,0,0,-,-,-,-,-,-,Image
2000,5,6,6,11.8,132.2,0,0,-,-,-,-,-,-,Image
2000,5,6,12,12.5,132.2,0,0,-,-,-,-,-,-,Image
2000,5,6,18,13.0,131.8,0,0,-,-,-,-,-,-,Image
2000,5,7,0,13.2,131.6,45,0,-,-,-,symmetric,120,120,Image
2000,5,7,6,13.5,131.2,55,0,symmetric,50,50,symmetric,150,150,Image
2000,5,7,12,13.5,131.1,55,0,symmetric,50,50,symmetric,150,150,Image
2000,5,7,18,13.7,131.4,60,0,symmetric,60,60,symmetric,180,180,Image
2000,5,8,0,14.0,131.5,65,0,symmetric,70,70,symmetric,200,200,Image
2000,5,8,6,14.3,132.0,70,0,symmetric,80,80,N,400,250,Image
2000,5,8,12,14.5,132.4,75,0,symmetric,90,90,N,400,250,Image
2000,5,8,18,15.1,133.0,75,0,symmetric,100,100,N,400,250,Image
2000,5,9,0,15.6,133.5,80,0,symmetric,120,120,N,400,300,Image
2000,5,9,6,16.4,134.4,90,0,symmetric,150,150,N,500,300,Image
2000,5,9,12,17.3,135.3,90,0,symmetric,150,150,N,500,300,Image
2000,5,9,18,18.7,136.0,90,0,symmetric,150,150,N,500,300,Image
2000,5,10,0,19.5,136.8,85,0,symmetric,150,150,N,300,250,Image
2000,5,10,6,20.8,137.8,80,0,symmetric,130,130,symmetric,250,250,Image
2000,5,10,12,22.2,138.8,75,0,symmetric,120,120,symmetric,240,240,Image
2000,5,10,18,23.0,139.5,75,0,symmetric,100,100,symmetric,240,240,Image
2000,5,11,0,23.7,139.9,70,0,symmetric,80,80,symmetric,200,200,Image
2000,5,11,3,24.5,140.5,65,0,symmetric,65,65,symmetric,180,180,Image
2000,5,11,6,25.3,141.0,65,0,symmetric,65,65,symmetric,180,180,Image
2000,5,11,9,25.5,141.3,65,0,symmetric,65,65,symmetric,180,180,Image
2000,5,11,12,26.0,142.0,60,0,symmetric,60,60,symmetric,150,150,Image
2000,5,11,15,26.5,142.6,55,0,symmetric,50,50,symmetric,150,150,Image
2000,5,11,18,27.0,143.5,55,0,symmetric,40,40,symmetric,150,150,Image
2000,5,11,21,27.4,144.5,55,0,symmetric,40,40,symmetric,150,150,Image
2000,5,12,0,27.7,145.9,50,0,-,-,-,symmetric,120,120,Image
2000,5,12,6,28.3,147.9,35,0,-,-,-,symmetric,100,100,Image
2000,5,12,12,28.4,149.5,0,0,-,-,-,-,-,-,Image
2000,5,12,18,28.3,150.8,0,0,-,-,-,-,-,-,Image
2000,5,13,0,28.1,151.8,0,0,-,-,-,-,-,-,Image
2000,5,13,6,27.9,153.4,0,0,-,-,-,-,-,-,Image
2000,5,13,12,27.7,154.7,0,0,-,-,-,-,-,-,Image
2000,5,13,18,27.4,155.4,0,0,-,-,-,-,-,-,Image
2000,5,14,0,27.2,156.0,0,0,-,-,-,-,-,-,Image
2000,5,14,6,27.5,157.5,0,0,-,-,-,-,-,-,Image
2000,5,14,12,28.1,158.4,0,0,-,-,-,-,-,-,Image
2000,5,14,18,29.0,159.1,0,0,-,-,-,-,-,-,Image
2000,5,15,0,30.1,159.7,0,0,-,-,-,-,-,-,Image
2000,5,15,6,30.6,160.5,0,0,-,-,-,-,-,-,Image
2000,5,15,12,31.2,161.3,0,0,-,-,-,-,-,-,Image
2000,5,15,18,31.7,162.5,0,0,-,-,-,-,-,-,Image
2000,5,16,0,32.3,163.7,0,0,-,-,-,-,-,-,Image
2000,5,16,6,32.7,165.2,0,0,-,-,-,-,-,-,Image
2000,5,16,12,33.0,167.3,0,0,-,-,-,-,-,-,Image
2000,5,16,18,33.2,169.7,0,0,-,-,-,-,-,-,Image
