Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2001,12,26,12,1.4,105.9,0,0,-,-,-,-,-,-,Image
2001,12,26,18,1.5,105.6,0,0,-,-,-,-,-,-,Image
2001,12,27,0,1.5,105.2,40,0,-,-,-,symmetric,100,100,Image
2001,12,27,6,1.5,104.4,45,0,-,-,-,symmetric,120,120,Image
2001,12,27,12,1.6,103.9,35,0,-,-,-,symmetric,100,100,Image
2001,12,27,18,1.7,103.2,0,0,-,-,-,-,-,-,Image
2001,12,28,0,1.8,102.5,0,0,-,-,-,-,-,-,Image
2001,12,28,6,2.0,101.3,0,0,-,-,-,-,-,-,Image
