Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
2006,8,3,18,21.2,152.2,0,0,-,-,-,-,-,-,Image
2006,8,4,0,21.9,151.9,0,0,-,-,-,-,-,-,Image
2006,8,4,6,22.7,151.4,0,0,-,-,-,-,-,-,Image
2006,8,4,12,23.7,149.7,0,0,-,-,-,-,-,-,Image
2006,8,4,18,24.2,148.1,0,0,-,-,-,-,-,-,Image
2006,8,5,0,24.7,147.0,0,0,-,-,-,-,-,-,Image
2006,8,5,6,25.6,146.1,0,0,-,-,-,-,-,-,Image
2006,8,5,12,26.0,145.2,0,0,-,-,-,-,-,-,Image
2006,8,5,18,26.4,143.8,35,0,-,-,-,SE,80,70,Image
2006,8,5,21,26.7,143.3,40,0,-,-,-,SE,90,70,Image
2006,8,6,0,27.0,142.7,45,0,-,-,-,E,100,70,Image
2006,8,6,3,27.3,142.1,50,0,-,-,-,E,110,70,Image
2006,8,6,6,27.6,141.6,60,0,symmetric,20,20,NE,120,70,Image
2006,8,6,9,27.8,141.1,65,0,symmetric,30,30,NE,120,70,Image
2006,8,6,12,28.2,140.6,65,0,symmetric,30,30,NE,120,70,Image
2006,8,6,18,28.8,139.7,70,0,NE,45,35,NE,130,80,Image
2006,8,7,0,29.6,138.8,70,0,NE,45,35,NE,130,80,Image
2006,8,7,6,30.6,138.1,70,0,NE,45,35,NE,130,80,Image
2006,8,7,12,31.2,137.4,70,0,E,45,35,E,130,80,Image
2006,8,7,15,31.5,137.0,70,0,E,45,35,E,130,80,Image
2006,8,7,18,31.9,136.8,70,0,E,45,35,E,140,70,Image
2006,8,7,21,32.3,136.6,70,0,E,45,35,E,140,70,Image
2006,8,8,0,32.6,136.6,65,0,SE,35,25,E,140,60,Image
2006,8,8,3,32.9,136.6,65,0,SE,35,25,SE,140,60,Image
2006,8,8,6,33.1,136.7,60,0,SE,30,20,SE,140,60,Image
2006,8,8,9,33.2,136.8,60,0,SE,30,20,SE,140,60,Image
2006,8,8,12,33.6,137.3,55,0,SE,25,15,SE,120,50,Image
2006,8,8,15,33.8,137.7,55,0,SE,25,15,SE,120,50,Image
2006,8,8,18,34.0,138.1,50,0,-,-,-,SE,110,40,Image
2006,8,8,21,34.1,138.6,50,0,-,-,-,SE,110,40,Image
2006,8,8,22,34.2,139.1,50,0,-,-,-,SE,100,30,Image
2006,8,9,0,34.5,139.8,50,0,-,-,-,SE,100,30,Image
2006,8,9,3,35.2,140.6,50,0,-,-,-,SE,110,40,Image
2006,8,9,6,35.6,141.2,45,0,-,-,-,SE,110,40,Image
2006,8,9,9,36.0,141.8,45,0,-,-,-,SE,120,50,Image
2006,8,9,12,36.4,142.4,40,0,-,-,-,SE,130,60,Image
2006,8,9,18,36.7,143.0,40,0,-,-,-,SE,140,80,Image
2006,8,10,0,36.9,143.9,40,0,-,-,-,SE,160,80,Image
2006,8,10,6,36.9,144.4,0,0,-,-,-,-,-,-,Image
2006,8,10,12,36.9,145.8,0,0,-,-,-,-,-,-,Image
2006,8,10,18,37.7,147.0,0,0,-,-,-,-,-,-,Image
2006,8,11,0,38.7,148.3,0,0,-,-,-,-,-,-,Image
2006,8,11,6,39.3,149.2,0,0,-,-,-,-,-,-,Image
2006,8,11,12,39.8,150.0,0,0,-,-,-,-,-,-,Image
2006,8,11,18,40.0,150.0,0,0,-,-,-,-,-,-,Image
2006,8,12,0,40.6,150.5,0,0,-,-,-,-,-,-,Image
2006,8,12,6,41.3,150.7,0,0,-,-,-,-,-,-,Image
2006,8,12,12,42.0,151.0,0,0,-,-,-,-,-,-,Image
2006,8,12,18,42.9,151.3,0,0,-,-,-,-,-,-,Image
2006,8,13,0,43.8,151.5,0,0,-,-,-,-,-,-,Image
2006,8,13,6,44.1,151.3,0,0,-,-,-,-,-,-,Image
2006,8,13,12,45.0,150.9,0,0,-,-,-,-,-,-,Image
2006,8,13,18,46.0,150.7,0,0,-,-,-,-,-,-,Image
2006,8,14,0,47.0,150.7,0,0,-,-,-,-,-,-,Image
2006,8,14,6,47.9,150.8,0,0,-,-,-,-,-,-,Image
2006,8,14,12,48.5,150.5,0,0,-,-,-,-,-,-,Image
