Year,Month,Day,Hour,Lat.,Long.,Wind (kt),Gust (kt),Direc. of Major Storm Axis,Radius of Major Storm Axis (nm),Radius of Minor Storm Axis (nm),Direc. of Major Gale Axis,Radius of Major Gale Axis (nm),Radius of Minor Gale Axis (nm),Image
1994,6,21,0,11.0,135.5,0,0,-,-,-,-,-,-,Image
1994,6,21,6,11.1,134.0,0,0,-,-,-,-,-,-,Image
1994,6,21,12,11.2,132.0,0,0,-,-,-,-,-,-,Image
1994,6,21,18,11.4,130.0,0,0,-,-,-,-,-,-,Image
1994,6,22,0,11.7,128.0,0,0,-,-,-,-,-,-,Image
1994,6,22,6,12.7,126.0,0,0,-,-,-,-,-,-,Image
1994,6,22,12,14.0,124.2,0,0,-,-,-,-,-,-,Image
1994,6,22,18,14.5,122.4,0,0,-,-,-,-,-,-,Image
1994,6,23,0,15.0,120.8,0,0,-,-,-,-,-,-,Image
1994,6,23,6,15.8,119.2,0,0,-,-,-,-,-,-,Image
1994,6,23,12,16.7,117.7,0,0,-,-,-,-,-,-,Image
1994,6,23,18,17.5,115.8,35,0,-,-,-,SE,90,60,Image
1994,6,24,0,18.2,114.1,35,0,-,-,-,SE,150,90,Image
1994,6,24,6,19.2,112.7,40,0,-,-,-,SE,150,90,Image
1994,6,24,12,20.2,112.0,40,0,-,-,-,SE,120,90,Image
1994,6,24,18,20.9,111.7,35,0,-,-,-,symmetric,80,80,Image
1994,6,25,0,21.7,111.6,35,0,-,-,-,symmetric,40,40,Image
1994,6,25,6,22.6,111.4,0,0,-,-,-,-,-,-,Image
1994,6,25,12,23.0,111.0,0,0,-,-,-,-,-,-,Image
